,pos,height,weight,hits/throws,number,image
Cory Phillips,INF,"5'9""",,,2,https://gvsulakers.com/images/2014/5/12/6251735.jpeg?width=80
Paul Young,OF,"5'9""",,,3,https://gvsulakers.com/images/2014/5/12/6251717.jpeg?width=80
Garrett Yatch,2B,"5'9""",,,4,https://gvsulakers.com/images/2014/5/12/6251742.jpeg?width=80
Steve Anderson,OF,"6'2""",,,5,https://gvsulakers.com/images/2014/5/12/7373476.jpeg?width=80
Zach Laupp,C,"6'0""",,,6,https://gvsulakers.com/images/2014/5/12/7373600.jpeg?width=80
Torre Aguirre,1B,"6'3""",,,10,https://gvsulakers.com/images/2014/5/12/6251707.jpeg?width=80
Blake Batteast,OF,"6'1""",,,11,https://gvsulakers.com/images/2014/5/12/7373501.jpeg?width=80
Kyle Schepel,RHP,"6'1""",,,13,https://gvsulakers.com/images/2014/5/12/7373648.jpeg?width=80
Jared Cowan,C,"6'2""",,,14,https://gvsulakers.com/images/2014/5/12/7373556.jpeg?width=80
Andrew Trepel,INF,"6'2""",,,15,https://gvsulakers.com/images/2014/5/12/6251728.jpeg?width=80
Brad Zambron,LHP,"6'1""",,,16,https://gvsulakers.com/images/2014/5/12/8529326.jpeg?width=80
Derrik Strzalkowski,C/1B,"5'11""",,,17,https://gvsulakers.com/images/2014/5/12/7373661.jpeg?width=80
Chris Rudenga,OF,"6'0""",,,18,https://gvsulakers.com/images/2014/5/12/8529288.jpeg?width=80
Joe Jablonski,RHP,"6'5""",,,20,https://gvsulakers.com/images/2014/5/12/6251771.jpeg?width=80
Cory Rademacher,RHP,"6'2""",,,21,https://gvsulakers.com/images/2014/5/12/6251720.jpeg?width=80
Dan Ponegalek,INF,"5'11""",,,22,https://gvsulakers.com/images/2014/5/12/8529277.jpeg?width=80
Ryan Garman,RHP,"5'10""",,,24,https://gvsulakers.com/images/2014/5/12/8529128.jpeg?width=80
Anthony Campanella,RHP,"6'2""",,,25,https://gvsulakers.com/images/2014/5/12/8529052.jpeg?width=80
Brian Robinson,3B,"6'0""",,,26,https://gvsulakers.com/images/2014/5/12/6251782.jpeg?width=80
Cody Grice,OF,"6'0""",,,27,https://gvsulakers.com/images/2014/5/12/6251806.jpeg?width=80
Jake Kent,RHP,"5'10""",,,28,https://gvsulakers.com/images/2014/5/12/6251709.jpeg?width=80
Chris Whitney,RHP,"6'3""",,,29,https://gvsulakers.com/images/2014/5/12/7373710.jpeg?width=80
Bill Maple,LHP,"5'11""",,,30,https://gvsulakers.com/images/2014/5/12/6251998.jpeg?width=80
Jacob Cox,RHP,"6'3""",,,32,https://gvsulakers.com/images/2014/5/12/7373578.jpeg?width=80
Brett Gwaltney,LHP,"5'10""",,,34,https://gvsulakers.com/images/2014/5/12/7373590.jpeg?width=80
Cody Westerhuis,LHP,"6'0""",,,38,https://gvsulakers.com/images/2014/5/12/9692693.jpeg?width=80
Giancarlo Brugnoni,1B,"6'3""",,,40,https://gvsulakers.com/images/2014/5/12/9692446.jpeg?width=80
Pijaszek,RHP,"5'11""",,,Adam,https://gvsulakers.com/images/2014/5/12/6252029.jpeg?width=80
Rushing,LHP,"6'5""",,,Raleigh,https://gvsulakers.com/images/2014/5/12/6252022.jpeg?width=80
Schuch,C,"6'0""",,,Matthew,https://gvsulakers.com/images/2014/5/12/8529299.jpeg?width=80
Zak,SS,"6'1""",,,Kevin,https://gvsulakers.com/images/2014/5/12/9692695.jpeg?width=80
