,pos,height,weight,hits/throws,number,image
Josh Hillyard,INF,"6'0""",,,3,https://gvsulakers.com/images/2014/5/12/2638343.jpeg?width=80
Pat Radde,OF,"5'9""",,,5,https://gvsulakers.com/images/2014/5/12/1754477.jpeg?width=80
Zach Laupp,C,"6'0""",,,6,https://gvsulakers.com/images/2014/5/12/7373600.jpeg?width=80
Eric Kruse,INF,"6'0""",,,8,https://gvsulakers.com/images/2014/5/12/1754456.jpeg?width=80
Casey Robrahn,1B/P,"6'1""",,,9,https://gvsulakers.com/images/2014/5/12/2638576.jpeg?width=80
Justin Beal,INF,"6'2""",,,10,https://gvsulakers.com/images/2014/5/12/1754373.jpeg?width=80
Adam Slusher,LHP,"6'2""",,,14,https://gvsulakers.com/images/2014/5/12/1754494.jpeg?width=80
Bobby Walmsley,C,"5'11""",,,15,https://gvsulakers.com/images/2014/5/12/2638397.jpeg?width=80
Derek Hinke,OF,"5'10""",,,16,https://gvsulakers.com/images/2014/5/12/1754445.jpeg?width=80
Brennen Glass,RHP,"6'4""",,,17,https://gvsulakers.com/images/2014/5/12/1754423.jpeg?width=80
Joe Jablonski,RHP,"6'5""",,,20,https://gvsulakers.com/images/2014/5/12/6251771.jpeg?width=80
Nick Beach,RHP,"5'11""",,,21,https://gvsulakers.com/images/2014/5/12/1754369.jpeg?width=80
Matt Nickels,OF,"5'11""",,,22,https://gvsulakers.com/images/2014/5/12/2638369.jpeg?width=80
Cory Maguire,LHP/1B,"6'2""",,,24,https://gvsulakers.com/images/2014/5/12/4213524.jpeg?width=80
Andre Benjamin,LHP,"6'3""",,,25,https://gvsulakers.com/images/2014/5/12/2638317.jpeg?width=80
Brandon Dickinson,RHP,"6'2""",,,26,https://gvsulakers.com/images/2014/5/12/1754420.jpeg?width=80
Eric Snyder,RHP,"6'4""",,,29,https://gvsulakers.com/images/2014/5/12/1754501.jpeg?width=80
Scott Cain,OF,"6'0""",,,31,https://gvsulakers.com/images/2014/5/12/2638328.jpeg?width=80
Jay Tharrett,C,"6'0""",,,33,https://gvsulakers.com/images/2014/5/12/4213648.jpeg?width=80
Matt Cade,LHP,"6'2""",,,34,https://gvsulakers.com/images/2014/5/12/4207179.jpeg?width=80
David Bowman,RHP,"5'10""",,,38,https://gvsulakers.com/images/2014/5/12/2638321.jpeg?width=80
Matt Huml,LHP,"6'2""",,,40,https://gvsulakers.com/images/2014/5/12/1754449.jpeg?width=80
Josh Hargreaves,C,"5'10""",,,41,https://gvsulakers.com/images/2014/5/12/1754438.jpeg?width=80
Bailey,INF,"5'9""",,,Matt,https://gvsulakers.com/images/2014/5/12/1754366.jpeg?width=80
Gring,OF,"6'2""",,,Kyle,https://gvsulakers.com/images/2014/5/12/1754431.jpeg?width=80
Hamilton,INF,"5'9""",,,Kyle,https://gvsulakers.com/images/2014/5/12/1754434.jpeg?width=80
Knuth,P/DH,"6'3""",,,Ben,https://gvsulakers.com/images/2014/5/12/1782569.jpeg?width=80
Rademacher,RHP,"6'2""",,,Cory,https://gvsulakers.com/images/2014/5/12/6251720.jpeg?width=80
