,pos,height,weight,hits/throws,number,image
Cory Phillips,INF,"5'9""",,,2,https://gvsulakers.com/images/2014/5/12/6251735.jpeg?width=80
Paul Young,OF,"5'9""",,,3,https://gvsulakers.com/images/2014/5/12/6251717.jpeg?width=80
Steve Anderson,OF,"6'2""",,,5,https://gvsulakers.com/images/2014/5/12/7373476.jpeg?width=80
Zach Laupp,C,"6'0""",,,6,https://gvsulakers.com/images/2014/5/12/7373600.jpeg?width=80
Kyle Gendron,INF,"6'1""",,,8,https://gvsulakers.com/images/2014/5/12/4213498.jpeg?width=80
Torre Aguirre,OF,"6'3""",,,10,https://gvsulakers.com/images/2014/5/12/6251707.jpeg?width=80
Robert Martin,INF,"6'1""",,,12,https://gvsulakers.com/images/2014/5/12/4213529.jpeg?width=80
Kyle Schepel,RHP,"6'0""",,,13,https://gvsulakers.com/images/2014/5/12/7373648.jpeg?width=80
Jared Cowan,C,"6'2""",,,14,https://gvsulakers.com/images/2014/5/12/7373556.jpeg?width=80
Andrew Trepel,INF,"6'2""",,,15,https://gvsulakers.com/images/2014/5/12/6251728.jpeg?width=80
Brad Zambron,P,"6'1""",,,16,https://gvsulakers.com/images/2014/5/12/8529326.jpeg?width=80
Kevin Schultz,RHP,"6'2""",,,17,https://gvsulakers.com/images/2014/5/12/4981324.jpeg?width=80
Chris Rudenga,OF,"6'0""",,,18,https://gvsulakers.com/images/2014/5/12/8529288.jpeg?width=80
Joe Jablonski,RHP,"6'5""",,,20,https://gvsulakers.com/images/2014/5/12/6251771.jpeg?width=80
Cory Rademacher,RHP,"6'2""",,,21,https://gvsulakers.com/images/2014/5/12/6251720.jpeg?width=80
Dan Ponegalek,INF,"5'10""",,,22,https://gvsulakers.com/images/2014/5/12/8529277.jpeg?width=80
Cory Maguire,1B,"6'2""",,,24,https://gvsulakers.com/images/2014/5/12/4213524.jpeg?width=80
Daniel Holcomb,P,"6'3""",,,25,https://gvsulakers.com/images/2014/5/12/4213503.jpeg?width=80
Brian Robinson,INF,"5'10""",,,26,https://gvsulakers.com/images/2014/5/12/6251782.jpeg?width=80
Cody Grice,OF,"6'0""",,,27,https://gvsulakers.com/images/2014/5/12/6251806.jpeg?width=80
Mark Riashi,RHP,"6'2""",,,28,
Jared Knuth,RHP,"6'2""",,,29,https://gvsulakers.com/images/2014/5/12/4213509.jpeg?width=80
Jeremy Trinkle,OF,"5'10""",,,31,https://gvsulakers.com/images/2014/5/12/4456174.jpeg?width=80
Brad Raj,RHP,"6'0""",,,32,https://gvsulakers.com/images/2014/5/12/4213572.jpeg?width=80
Matt Cade,LHP,"6'2""",,,34,https://gvsulakers.com/images/2014/5/12/4207179.jpeg?width=80
Cody Westerhuis,P,"6'0""",,,38,https://gvsulakers.com/images/2014/5/12/9692693.jpeg?width=80
Giancarlo Brugnoni,1B,"6'3""",,,40,https://gvsulakers.com/images/2014/5/12/9692446.jpeg?width=80
Nick VanHemert,C,"5'10""",,,41,https://gvsulakers.com/images/2014/5/12/4213654.jpeg?width=80
Elkins,C,"5'9""",,,Max,https://gvsulakers.com/images/2014/5/12/4207189.jpeg?width=80
