,pos,height,weight,hits/throws,number,image
Lee VanStreain,INF,"5'10""",,,3,https://gvsulakers.com/images/2014/5/12/856539.jpeg?width=80
Spud McKenzie,2B,"5'8""",,,4,https://gvsulakers.com/images/2014/5/12/850294.jpeg?width=80
Pat Radde,OF,"5'8""",,,5,https://gvsulakers.com/images/2014/5/12/1754477.jpeg?width=80
Dan Delamielleure,INF,"5'10""",,,6,https://gvsulakers.com/images/2014/5/12/850430.jpeg?width=80
Dan Skirka,SS,"6'0""",,,8,https://gvsulakers.com/images/2014/5/12/850302.jpeg?width=80
Casey Robrahn,1B,"6'1""",,,9,https://gvsulakers.com/images/2014/5/12/2638576.jpeg?width=80
Brandon Bard,C,"6'1""",,,10,https://gvsulakers.com/images/2014/5/12/856531.jpeg?width=80
Ken Murkowski,RHP,"6'5""",,,11,https://gvsulakers.com/images/2014/5/12/850448.jpeg?width=80
Jesse Barfelz,C,"5'10""",,,12,https://gvsulakers.com/images/2014/5/12/850282.jpeg?width=80
Justin Swiderski,RHP,"5'11""",,,14,https://gvsulakers.com/images/2014/5/12/850462.jpeg?width=80
Aaron Melucci,INF,"6'3""",,,15,https://gvsulakers.com/images/2014/5/12/850295.jpeg?width=80
Derek Hinke,OF,"5'10""",,,16,https://gvsulakers.com/images/2014/5/12/1754445.jpeg?width=80
Brennen Glass,RHP,"6'4""",,,17,https://gvsulakers.com/images/2014/5/12/1754423.jpeg?width=80
Nick Smith,C,"6'1""",,,20,https://gvsulakers.com/images/2014/5/12/856535.jpeg?width=80
Nick Beach,RHP,"5'11""",,,21,https://gvsulakers.com/images/2014/5/12/1754369.jpeg?width=80
Matt Nickels,OF,"5'11""",,,22,https://gvsulakers.com/images/2014/5/12/2638369.jpeg?width=80
Cory Maguire,LHP/1B,"6'2""",,,24,https://gvsulakers.com/images/2014/5/12/4213524.jpeg?width=80
Steve Strutz,1B/RHP,"6'2""",,,25,https://gvsulakers.com/images/2014/5/12/850461.jpeg?width=80
Alex Dawe,RHP,"5'10""",,,26,https://gvsulakers.com/images/2014/5/12/850288.jpeg?width=80
Eric Snyder,RHP,"6'4""",,,29,https://gvsulakers.com/images/2014/5/12/1754501.jpeg?width=80
Danny Richard,RHP,"6'3""",,,30,https://gvsulakers.com/images/2014/5/12/2638380.jpeg?width=80
Scott Cain,1B,"6'0""",,,31,https://gvsulakers.com/images/2014/5/12/2638328.jpeg?width=80
Brad Raj,RHP/INF,"6'0""",,,32,https://gvsulakers.com/images/2014/5/12/4213572.jpeg?width=80
Vince Rizzi,RHP,"6'1""",,,33,https://gvsulakers.com/images/2014/5/12/850300.jpeg?width=80
Matt Middleton,RHP,"5'11""",,,34,https://gvsulakers.com/images/2014/5/12/850297.jpeg?width=80
David Bowman,RHP,"5'10""",,,38,https://gvsulakers.com/images/2014/5/12/2638321.jpeg?width=80
Matt Huml,LHP,"6'2""",,,40,https://gvsulakers.com/images/2014/5/12/1754449.jpeg?width=80
Josh Hargreaves,C,"6'0""",,,41,https://gvsulakers.com/images/2014/5/12/1754438.jpeg?width=80
Dickinson,RHP,"6'2""",,,Brandon,https://gvsulakers.com/images/2014/5/12/1754420.jpeg?width=80
Jablonski,RHP,"6'5""",,,Joe,https://gvsulakers.com/images/2014/5/12/6251771.jpeg?width=80
